song,artist,peak_position,weeks_on_chart,date_of_charting
Ocean Spray,Moneybagg Yo,69,2,6/24/2023
The Hillbillies,Baby Keem & Kendrick Lamar,93,1,6/24/2023
All The Way Live,"Metro Boomin, Future & Lil Uzi Vert",61,2,6/24/2023
Take Two,BTS,48,1,6/24/2023
Go Crazy,Gunna,94,1,7/1/2023
Back At It,Gunna,51,1,7/1/2023
Ca$h $hit,Gunna,60,1,7/1/2023
Chanel,Becky G & Peso Pluma,55,10,7/1/2023
IDK NoMore,Gunna,76,1,7/1/2023
P Angels,Gunna,77,1,7/1/2023
Rock And A Hard Place,Bailey Zimmerman,10,54,7/1/2023
Plebada,El Alfa x Peso Pluma,68,2,7/1/2023
"Angel, Pt. 1","Kodak Black, NLE Choppa, Jimin, JVKE & Muni Long",65,2,7/1/2023
It Matters To Her,Scotty McCreery,49,10,7/1/2023
Moonlight,Kali Uchis,80,11,7/1/2023
People,Libianca,80,8,7/1/2023
Classy 101,Feid x Young Miko,99,1,7/1/2023
Bottom,Gunna,62,1,7/1/2023
Slut Me Out,NLE Choppa,28,14,7/1/2023
Bluffin,Gucci Mane & Lil Baby,100,1,7/1/2023
Under The Influence,Chris Brown,12,41,7/1/2023
Trustfall,P!nk,82,4,7/1/2023
Paybach,Gunna,83,1,7/1/2023
Tennessee Orange,Megan Moroney,30,28,7/1/2023
One Thing At A Time,Morgan Wallen,10,30,7/8/2023
Rodeo Dr,Gunna,42,2,7/8/2023
Parade On Cleveland,Young Thug Featuring Drake,39,1,7/8/2023
Players,Coi Leray,9,26,7/8/2023
Bread & Butter,Gunna,48,4,7/8/2023
Hellcat Kenny,Young Thug Featuring Lil Uzi Vert,70,1,7/8/2023
PRC,Peso Pluma X Natanael Cano,33,20,7/8/2023
Area Codes,Kali,33,8,7/8/2023
Rosa Pastel,Peso Pluma & Jasiel Nunez,93,1,7/8/2023
Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",44,4,7/8/2023
VVS,"Peso Pluma, Edgardo Nunez & Los Dareyes de La Sierra",54,1,7/8/2023
Doomsday.,Juice WRLD & Cordae,58,1,7/8/2023
Money On The Dresser,Young Thug,78,1,7/8/2023
Wit Da Racks,"Young Thug Featuring 21 Savage, Travis Scott & Yak Gotti",56,1,7/8/2023
Back To The Moon,Gunna,29,2,7/8/2023
Nueva Vida,Peso Pluma,86,1,7/8/2023
Thank God,Kane Brown With Katelyn Brown,13,42,7/8/2023
Gucci Grocery Bag,Young Thug,100,1,7/8/2023
Self Love,Metro Boomin & Coi Leray,54,4,7/8/2023
Want Me Dead,Young Thug Featuring 21 Savage,59,1,7/8/2023
Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee",51,4,7/8/2023
Abracadabra,Young Thug Featuring Travis Scott,97,1,7/8/2023
Uncle M,Young Thug,81,1,7/8/2023
Cars Bring Me Out,Young Thug Featuring Future,52,1,7/8/2023
All Alone,Lil Uzi Vert,76,1,7/15/2023
Party In The U.S.A.,Miley Cyrus,2,29,7/15/2023
We Didn't Start The Fire,Fall Out Boy,94,1,7/15/2023
"Mama, I'm Sorry",Lil Uzi Vert,65,1,7/15/2023
Amped,Lil Uzi Vert,67,1,7/15/2023
Spin Again,Lil Uzi Vert,51,1,7/15/2023
Died And Came Back,Lil Uzi Vert,78,1,7/15/2023
Nakamura,Lil Uzi Vert,71,1,7/15/2023
Crush Em,Lil Uzi Vert,52,1,7/15/2023
X2,Lil Uzi Vert,53,1,7/15/2023
That Fiya,Lil Uzi Vert,93,1,7/15/2023
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,3,22,7/15/2023
Suicide Doors,Lil Uzi Vert,25,1,7/15/2023
I Gotta,Lil Uzi Vert,49,1,7/15/2023
Aye,Lil Uzi Vert Featuring Travis Scott,31,1,7/15/2023
Attention,Doja Cat,31,3,7/15/2023
Werewolf,Lil Uzi Vert Featuring Bring Me The Horizon,81,1,7/15/2023
Zoom,Lil Uzi Vert,92,1,7/15/2023
Patience,Lil Uzi Vert Featuring Don Toliver,70,1,7/15/2023
Pluto To Mars,Lil Uzi Vert,60,1,7/15/2023
Haunted (Taylor's Version),Taylor Swift,50,1,7/22/2023
TQG,Karol G x Shakira,7,20,7/22/2023
Never Grow Up (Taylor's Version),Taylor Swift,58,1,7/22/2023
Long Live (Taylor's Version),Taylor Swift,53,1,7/22/2023
The Story Of Us (Taylor's Version),Taylor Swift,42,1,7/22/2023
Innocent (Taylor's Version),Taylor Swift,63,1,7/22/2023
Castles Crumbling (Taylor's Version) (From The Vault),Taylor Swift Featuring Hayley Williams,31,1,7/22/2023
Waffle House,Jonas Brothers,57,11,7/22/2023
Dear John (Taylor's Version),Taylor Swift,26,1,7/22/2023
Ours (Taylor's Version),Taylor Swift,69,1,7/22/2023
Last Kiss (Taylor's Version),Taylor Swift,57,1,7/22/2023
Superman (Taylor's Version),Taylor Swift,74,1,7/22/2023
Timeless (Taylor's Version) (From The Vault),Taylor Swift,48,1,7/22/2023
When Emma Falls In Love (Taylor's Version) (From The Vault),Taylor Swift,34,1,7/22/2023
Mean (Taylor's Version),Taylor Swift,39,1,7/22/2023
Speak Now (Taylor's Version),Taylor Swift,33,1,7/22/2023
Point Me 2,FendiDa Rappa With Cardi B,82,1,7/22/2023
Better Than Revenge (Taylor's Version),Taylor Swift,28,1,7/22/2023
Foolish One (Taylor's Version) (From The Vault),Taylor Swift,40,1,7/22/2023
Electric Touch (Taylor's Version) (From The Vault),Taylor Swift Featuring Fall Out Boy,35,1,7/22/2023
Sparks Fly (Taylor's Version),Taylor Swift,22,2,7/29/2023
Quema,Ryan Castro x Pe$o Pluma,92,1,7/29/2023
Dial Drunk,Noah Kahan,39,5,7/29/2023
You Proof,Morgan Wallen,5,62,7/29/2023
Mine (Taylor's Version),Taylor Swift,15,2,7/29/2023
Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj,20,3,7/29/2023
Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",41,6,7/29/2023
Back To December (Taylor's Version),Taylor Swift,16,2,7/29/2023
Mojabi Ghost,Tainy & Bad Bunny,57,3,7/29/2023
Rush,Troye Sivan,77,2,8/5/2023
Sure Thing,Miguel,11,52,8/5/2023
El Azul,Junior H x Peso Pluma,55,16,8/5/2023
Something In The Orange,Zach Bryan,10,66,8/5/2023
Luna,Peso Pluma & Junior H,30,5,8/5/2023
ETA,NewJeans,81,1,8/5/2023
Flooded The Face,Lil Uzi Vert,11,4,8/5/2023
Die For You,The Weeknd & Ariana Grande,1,52,8/5/2023
Bye,Peso Pluma,48,9,8/5/2023
Cool With You,NewJeans,93,1,8/5/2023
Enchanted (Taylor's Version),Taylor Swift,19,3,8/5/2023
Dancin' In The Country,Tyler Hubbard,23,23,8/5/2023
I'm Good (Blue),David Guetta & Bebe Rexha,4,48,8/5/2023
Thang For You,Rylo Rodriguez Featuring NoCap,91,2,8/5/2023
Por Las Noches,Peso Pluma,28,20,8/5/2023
Equal Dirt,Rylo Rodriguez,100,1,8/5/2023
Ain't That Some,Morgan Wallen,11,20,8/5/2023
Talibans II,Burna Boy & Byron Messia,99,1,8/5/2023
Looove,Travis Scott Featuring Kid Cudi,49,1,8/12/2023
Aqui Te Espero,Ivan Cornejo,89,1,8/12/2023
Something Real,Post Malone,67,1,8/12/2023
Enough Is Enough,Post Malone,56,1,8/12/2023
Novacandy,Post Malone,90,1,8/12/2023
Too Cool To Die,Post Malone,87,1,8/12/2023
Parasail,Travis Scott Featuring Yung Lean & Dave Chappelle,53,1,8/12/2023
On The Radar Freestyle,Drake & Central Cee,80,1,8/12/2023
Circus Maximus,Travis Scott Featuring The Weeknd & Swae Lee,36,1,8/12/2023
Don't Understand,Post Malone,88,1,8/12/2023
Lost Forever,Travis Scott Featuring Westside Gunn,46,1,8/12/2023
Til Further Notice,Travis Scott Featuring James Blake & 21 Savage,38,2,8/19/2023
God's Country,Travis Scott,28,2,8/19/2023
Fragil,Yahritza y Su Esencia x Grupo Frontera,69,16,8/19/2023
Hyaena,Travis Scott,14,2,8/19/2023
Eyes Closed,Ed Sheeran,19,20,8/19/2023
I'm Just Ken,Ryan Gosling,87,3,8/19/2023
Thought You Should Know,Morgan Wallen,7,52,8/19/2023
Overdrive,Post Malone,47,3,8/19/2023
Delresto (Echoes),Travis Scott & Beyonce,25,2,8/19/2023
Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj,66,10,8/19/2023
Modern Jam,Travis Scott Featuring Teezo Touchdown,23,2,8/19/2023
Skitzo,Travis Scott Featuring Young Thug,34,2,8/19/2023
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,31,10,8/19/2023
Sirens,Travis Scott,27,2,8/19/2023
Thank God,Travis Scott,16,3,8/26/2023
Oki Doki,Karol G,83,1,8/26/2023
Supposed To Be Loved,"DJ Khaled, Lil Baby, Future & Lil Uzi Vert",52,1,8/26/2023
Jealousy,Offset & Cardi B,55,3,8/26/2023
Love Me Again,V,96,1,8/26/2023
ICU,Coco Jones,62,20,8/26/2023
Memory Lane,Old Dominion,27,20,8/26/2023
Una Noche En Medellin (Remix),"Karol G, Cris Mj & Ryan Castro",68,1,8/26/2023
Mourning,Post Malone,36,13,8/26/2023
Blank Space,Taylor Swift,1,38,8/26/2023
Aint Gotta Dollar,Oliver Anthony Music,82,2,9/2/2023
Next Thing You Know,Jordan Davis,23,31,9/2/2023
Topia Twins,Travis Scott Featuring Rob49 & 21 Savage,17,4,9/2/2023
Turn Yo Clic Up,Quavo & Future,83,2,9/2/2023
Ella Baila Sola,Eslabon Armado X Peso Pluma,4,23,9/2/2023
Search & Rescue,Drake,2,20,9/2/2023
Heartbroken,"Diplo, Jessie Murph & Polo G",64,5,9/2/2023
Mona Lisa,Dominic Fike,89,2,9/2/2023
La Bebe,Yng Lvcas x Peso Pluma,11,23,9/2/2023
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",48,14,9/2/2023
Speed Drive,Charli XCX,73,5,9/2/2023
"You, Me, & Whiskey",Justin Moore & Priscilla Block,37,16,9/2/2023
Favorite Song,Toosii,5,27,9/2/2023
I Can See You (Taylor's Version) (From The Vault),Taylor Swift,5,7,9/2/2023
F*ck U Thought,Lil Durk,77,1,9/2/2023
Barely Holdin' On,Polo G,68,1,9/2/2023
Fear And Friday's (Poem),Zach Bryan,39,1,9/9/2023
Un x100to,Grupo Frontera X Bad Bunny,5,20,9/9/2023
Chemical,Post Malone,13,20,9/9/2023
Princess Diana,Ice Spice & Nicki Minaj,4,20,9/9/2023
There I Go,Gucci Mane Featuring J. Cole & Mike WiLL Made-It,94,1,9/9/2023
Super Shy,NewJeans,48,8,9/9/2023
Jaded,Miley Cyrus,56,15,9/9/2023
Jake's Piano - Long Island,Zach Bryan,41,2,9/16/2023
Keep Going Up!,"Timbaland, Nelly Furtado & Justin Timberlake",84,1,9/16/2023
Oklahoman Son,Zach Bryan,47,2,9/16/2023
Area Codes,Kaliii,33,18,9/16/2023
Stand By Me,Lil Durk Featuring Morgan Wallen,22,15,9/16/2023
Shake Sumn,DaBaby,65,16,9/16/2023
Your Heart Or Mine,Jon Pardi,47,17,9/16/2023
Tradesman,Zach Bryan,44,2,9/16/2023
See You Again,"Tyler, The Creator Featuring Kali Uchis",44,20,9/16/2023
Margaritaville,Jimmy Buffett,8,23,9/16/2023
Primera Cita,Carin Leon,97,2,9/16/2023
Cupid,Fifty Fifty,17,25,9/16/2023
S91,Karol G,45,6,9/16/2023
Slow Dancing,V,51,1,9/23/2023
Sittin' On Top Of The World,Burna Boy,80,3,9/23/2023
Lagunas,Peso Pluma & Jasiel Nunez,77,9,9/23/2023
Last Time I Saw You,Nicki Minaj,23,2,9/23/2023
TQM,Fuerza Regida,34,17,9/23/2023
Smaller Acts,Zach Bryan,38,3,9/23/2023
El Dorado,Zach Bryan,31,3,9/23/2023
Holy Roller,Zach Bryan Featuring Sierra Ferrell,37,3,9/23/2023
Overtime,Zach Bryan,22,3,9/23/2023
Dawns,Zach Bryan Featuring Maggie Rogers,42,20,9/23/2023
Summertime's Close,Zach Bryan,23,3,9/23/2023
K-POP,"Travis Scott, Bad Bunny & The Weeknd",7,8,9/23/2023
Summer Too Hot,Chris Brown,93,4,9/23/2023
Ticking,Zach Bryan,29,3,9/23/2023
Fear And Friday's,Zach Bryan,24,3,9/23/2023
Pretty Isn't Pretty,Olivia Rodrigo,30,2,9/30/2023
Love Story/Interlude,Rod Wave,79,1,9/30/2023
2018,Rod Wave & Sadie Jean,61,1,9/30/2023
Teenage Dream,Olivia Rodrigo,39,2,9/30/2023
Keep It G,Rod Wave,71,1,9/30/2023
Put It On Da Floor Again,Latto Featuring Cardi B,13,16,9/30/2023
Bury Me In Georgia,Kane Brown,34,19,9/30/2023
Another One Of Me,"Diddy, French Montana & The Weeknd Featuring 21 Savage",87,1,9/30/2023
Fight The Feeling,Rod Wave,16,20,9/30/2023
Back Lit,Rod Wave,80,1,9/30/2023
Love For A Thug,Rod Wave,56,1,9/30/2023
Ballad Of A Homeschooled Girl,Olivia Rodrigo,24,2,9/30/2023
Angels Don't Always Have Wings,Thomas Rhett,69,9,9/30/2023
Pass You By,Rod Wave,73,1,9/30/2023
Rap Beef,Rod Wave,93,1,9/30/2023
Crazy,Rod Wave,48,2,10/7/2023
HVN On Earth,Lil Tecca & Kodak Black,88,1,10/7/2023
El Jefe,Shakira X Fuerza Regida,55,1,10/7/2023
Nine Ball,Zach Bryan,54,1,10/7/2023
Logical,Olivia Rodrigo,20,3,10/7/2023
Love You Anyway,Luke Combs,15,33,10/7/2023
"Pain, Sweet, Pain",Zach Bryan,66,1,10/7/2023
Checkmate,Rod Wave,55,2,10/7/2023
Girl In Mine,Parmalee,81,9,10/7/2023
Love Is Embarrassing,Olivia Rodrigo,25,3,10/7/2023
Deep Satin,Zach Bryan,45,1,10/7/2023
One More Time,Blink-182,62,1,10/7/2023
Lacy,Olivia Rodrigo,23,3,10/7/2023
Making The Bed,Olivia Rodrigo,19,3,10/7/2023
Demons,Doja Cat,46,2,10/7/2023
Nostalgia,Rod Wave & Wet,40,2,10/7/2023
Oh U Went,Young Thug Featuring Drake,19,15,10/14/2023
East Side Of Sorrow,Zach Bryan,18,6,10/14/2023
Calm Down,Rema & Selena Gomez,3,57,10/14/2023
Bipolar,Peso Pluma x Jasiel Nunez x Junior H,60,4,10/14/2023
The Secret Recipe,Lil Yachty & J. Cole,92,1,10/14/2023
Boys Of Faith,Zach Bryan Featuring Bon Iver,26,2,10/14/2023
The Grudge,Olivia Rodrigo,16,4,10/14/2023
Shaq & Kobe,Rick Ross & Meek Mill,83,1,10/14/2023
HG4,Rod Wave,51,3,10/14/2023
Karma,Taylor Swift Featuring Ice Spice,2,30,10/14/2023
In Your Love,Tyler Childers,43,10,10/14/2023
Rubicon,Peso Pluma,63,12,10/14/2023
Johnny Dang,"That Mexican OT, Paul Wall & DRODi",65,12,10/14/2023
Oklahoma Smoke Show,Zach Bryan,80,9,10/14/2023
Tulum,Peso Pluma & Grupo Frontera,43,14,10/14/2023
All-American Bitch,Olivia Rodrigo,13,4,10/14/2023
Spotless,Zach Bryan Featuring The Lumineers,17,6,10/14/2023
Long Journey,Rod Wave,39,3,10/14/2023
BBL Love Interlude,Drake,36,1,10/21/2023
Polar Opposites,Drake,37,1,10/21/2023
Popular,"The Weeknd, Playboi Carti & Madonna",43,19,10/21/2023
Come See Me,Rod Wave,19,6,10/21/2023
Screw The World Interlude,Drake,42,1,10/21/2023
Telekinesis,Travis Scott Featuring SZA & Future,26,11,10/21/2023
Away From Home,Drake,32,1,10/21/2023
No Me Quiero Casar,Bad Bunny,65,1,10/28/2023
Drew A Picasso,Drake,27,2,10/28/2023
Another Late Night,Drake Featuring Lil Yachty,29,2,10/28/2023
Los Pits,Bad Bunny,61,1,10/28/2023
Gracias Por Nada,Bad Bunny,52,1,10/28/2023
Tried Our Best,Drake,21,2,10/28/2023
Baticano,Bad Bunny,78,1,10/28/2023
Acho PR,"Bad Bunny, Arcangel, De La Ghetto & Nengo Flow",83,1,10/28/2023
Amen,Drake Featuring Teezo Touchdown,15,2,10/28/2023
Where She Goes,Bad Bunny,8,20,10/28/2023
All The Parties,Drake Featuring Chief Keef,26,2,10/28/2023
Peaches & Eggplants,Young Nudy Featuring 21 Savage,33,20,10/28/2023
Thunder y Lightning,Bad Bunny & Eladio Carrion,80,1,10/28/2023
Mercedes Carota,Bad Bunny & YOVNGCHIMI,57,1,10/28/2023
Vuelve Candy B,Bad Bunny,70,1,10/28/2023
7969 Santa,Drake,16,2,10/28/2023
Nadie Sabe,Bad Bunny,22,1,10/28/2023
Vou 787,Bad Bunny,53,1,10/28/2023
Religiously,Bailey Zimmerman,13,25,11/4/2023
Cybertruck,Bad Bunny,30,2,11/4/2023
Deli,Ice Spice,41,13,11/4/2023
Telefono Nuevo,Bad Bunny & Luar La L,32,2,11/4/2023
Gently,Drake Featuring Bad Bunny,12,3,11/4/2023
8am In Charlotte,Drake,17,3,11/4/2023
Bahamas Promises,Drake,20,3,11/4/2023
One Of Your Girls,Troye Sivan,79,1,11/4/2023
Members Only,Drake Featuring PARTYNEXTDOOR,24,3,11/4/2023
Fear Of Heights,Drake,10,3,11/4/2023
Hibiki,Bad Bunny & Mora,24,2,11/4/2023
Mr. October,Bad Bunny,28,2,11/4/2023
Baby Nueva,Bad Bunny,34,2,11/4/2023
Seda,Bad Bunny & Bryant Myers,38,2,11/4/2023
Daylight,Drake,8,3,11/4/2023
Creepin',"Metro Boomin, The Weeknd & 21 Savage",3,47,11/4/2023
What Would Pluto Do,Drake,18,3,11/4/2023
Anti-Hero,Taylor Swift,1,53,11/4/2023
One More Time,blink-182,62,2,11/4/2023
All My Life,Lil Durk Featuring J. Cole,2,24,11/4/2023
Call Your Friends,Rod Wave,18,9,11/4/2023
Say My Grace,Offset Featuring Travis Scott,48,2,11/4/2023
Boyz Don't Cry,Rod Wave,25,5,11/4/2023
You Are In Love (Taylor's Version),Taylor Swift,43,1,11/11/2023
I Know Places (Taylor's Version),Taylor Swift,36,1,11/11/2023
This Love (Taylor's Version),Taylor Swift,42,2,11/11/2023
Wonderland (Taylor's Version),Taylor Swift,39,1,11/11/2023
Mr. Take Ya B*tch,Lil Mabu & chriseanrock,96,1,11/11/2023
I Wish You Would (Taylor's Version),Taylor Swift,31,1,11/11/2023
How You Get The Girl (Taylor's Version),Taylor Swift,40,1,11/11/2023
God Gave Me A Girl,Russell Dickerson,81,5,11/18/2023
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",35,20,11/18/2023
Watermelon Moonshine,Lainey Wilson,21,20,11/18/2023
Fina,Bad Bunny & Young Miko,14,4,11/18/2023
Sarah's Place,Zach Bryan Featuring Noah Kahan,14,4,11/18/2023
Welcome To New York (Taylor's Version),Taylor Swift,14,2,11/18/2023
All You Had To Do Was Stay (Taylor's Version),Taylor Swift,20,2,11/18/2023
Bleed,The Kid LAROI,97,1,11/18/2023
Shake It Off (Taylor's Version),Taylor Swift,28,2,11/18/2023
New Romantics (Taylor's Version),Taylor Swift,29,2,11/18/2023
Un Preview,Bad Bunny,43,7,11/18/2023
Clean (Taylor's Version),Taylor Swift,30,2,11/18/2023
Barbie World,Nicki Minaj & Ice Spice With Aqua,7,21,11/25/2023
Stars Like Confetti,Dustin Lynch,81,6,11/25/2023
Blank Space (Taylor's Version),Taylor Swift,12,3,11/25/2023
Standing Room Only,Tim McGraw,60,10,11/25/2023
LALALALA,Stray Kids,90,1,11/25/2023
Daylight,David Kushner,33,31,11/25/2023
Wildest Dreams (Taylor's Version),Taylor Swift,19,4,11/25/2023
Single Soon,Selena Gomez,19,12,11/25/2023
Now And Then,The Beatles,7,2,11/25/2023
Seven,Jung Kook Featuring Latto,1,15,11/25/2023
Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift,10,3,11/25/2023
Bad Blood (Taylor's Version),Taylor Swift,7,3,11/25/2023
Better Than Ever,YoungBoy Never Broke Again & Rod Wave,99,1,11/25/2023
Cobra,Megan Thee Stallion,32,2,11/25/2023
Out Of The Woods (Taylor's Version),Taylor Swift,16,3,11/25/2023
Smurk Carter,Lil Durk,95,1,11/25/2023
Calling For You,Drake Featuring 21 Savage,5,4,12/2/2023
Bongos,Cardi B & Megan Thee Stallion,14,11,12/2/2023
Evil Ways,Drake Featuring J. Cole,26,1,12/2/2023
Stories About My Brother,Drake,58,1,12/2/2023
Red Button,Drake,51,1,12/2/2023
Style (Taylor's Version),Taylor Swift,9,4,12/2/2023
"I Swear, I Really Wanted To Make A ""Rap"" Album But...",Andre 3000,90,1,12/2/2023
Wick Man,Drake,71,1,12/2/2023
SkeeYee,Sexyy Red,62,12,12/2/2023
The Shoe Fits,Drake,52,1,12/2/2023
What It Is (Block Boy),Doechii Featuring Kodak Black,29,29,12/2/2023
LaLa,Myke Towers,43,20,12/2/2023
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,5,5,12/9/2023
Labios Mordidos,Kali Uchis & Karol G,97,1,12/9/2023
Too Much,"The Kid LAROI, Jung Kook & Central Cee",44,6,12/9/2023
Try That In A Small Town,Jason Aldean,1,20,12/9/2023
Slut! (Taylor's Version) [From The Vault],Taylor Swift,3,5,12/9/2023
3D,Jung Kook & Jack Harlow,5,9,12/16/2023
Jingle Bells,Frank Sinatra,20,11,12/16/2023
Meltdown,Travis Scott Featuring Drake,3,19,12/16/2023
My House,Beyonce,57,1,12/16/2023
But I Got A Beer In My Hand,Luke Bryan,91,8,12/16/2023
"Everywhere, Everything",Noah Kahan With Gracie Abrams,79,1,12/16/2023
Let Me Calm Down,Nicki Minaj Featuring J. Cole,63,1,12/23/2023
Cowgirl,Nicki Minaj Featuring Lourdiz,87,1,12/23/2023
Everything I Love,Morgan Wallen,14,42,12/23/2023
Pink Birthday,Nicki Minaj,89,1,12/23/2023
The Christmas Song (Merry Christmas To You),Nat King Cole,9,42,12/23/2023
Barbie Dangerous,Nicki Minaj,58,1,12/23/2023
Big Difference,Nicki Minaj,73,1,12/23/2023
Bahm Bahm,Nicki Minaj,95,1,12/23/2023
Jingle Bells,Frank Sinatra With Orchestra Conducted By Gordon Jenkins,20,12,12/23/2023
Fallin 4 U,Nicki Minaj,74,1,12/23/2023
Pink Friday Girls,Nicki Minaj,82,1,12/23/2023
RNB,Nicki Minaj Featuring Lil Wayne & Tate Kobang,80,1,12/23/2023
Are You Gone Already,Nicki Minaj,60,1,12/23/2023
One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",100,1,12/30/2023
Beep Beep,Nicki Minaj,64,2,12/30/2023
Crazy,Lil Baby,83,1,12/30/2023
"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,7,31,1/6/2024
DJ Play A Christmas Song,Cher,90,2,1/6/2024
Mistletoe,Justin Bieber,11,13,1/6/2024
Santa Claus Is Comin' To Town,Jackson 5,30,11,1/6/2024
(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,50,1,1/6/2024
I Saw Mommy Kissing Santa Claus,Jackson 5,43,1,1/6/2024
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,31,12,1/6/2024
White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,12,35,1/6/2024
This Christmas,Donny Hathaway,34,5,1/6/2024
Have Yourself A Merry Little Christmas,Michael Buble,41,4,1/6/2024
Merry Christmas,Ed Sheeran & Elton John,42,7,1/6/2024
Winter Wonderland,Chloe,87,2,1/6/2024
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,38,6,1/6/2024
Qlona,Karol G & Peso Pluma,28,21,1/13/2024
"Burn, Burn, Burn",Zach Bryan,93,3,1/13/2024
Soak City (Do It),310babii,68,3,1/13/2024
Dial Drunk,Noah Kahan With Post Malone,25,24,1/13/2024
Turks & Caicos,Rod Wave Featuring 21 Savage,24,13,1/13/2024
Needle,Nicki Minaj Featuring Drake,34,4,1/13/2024
Amargura,Karol G,85,6,1/13/2024
Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,2,8,1/20/2024
I Know ?,Travis Scott,11,22,1/20/2024
Mind On You,George Birge,62,4,1/20/2024
Lace It,"Juice WRLD, Eminem & benny blanco",85,4,1/20/2024
Sabor Fresa,Fuerza Regida,26,16,1/20/2024
Better Place,*NSYNC,25,6,1/20/2024
Mi Ex Tenia Razon,Karol G,22,16,1/20/2024
Run For The Hills,Tate McRae,69,4,1/20/2024
Hey Driver,Zach Bryan Featuring The War And Treaty,14,20,1/20/2024
Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",81,2,1/20/2024
Kill Bill,SZA,1,52,1/20/2024
Can't Have Mine,Dylan Scott,57,13,1/20/2024
Slime You Out,Drake Featuring SZA,1,14,1/20/2024
You're Losing Me (From The Vault),Taylor Swift,27,7,1/20/2024
Bad Idea Right?,Olivia Rodrigo,7,19,1/20/2024
Great Gatsby,Rod Wave,30,17,1/27/2024
Used To Be Young,Miley Cyrus,8,21,1/27/2024
J Christ,Lil Nas X,69,1,1/27/2024
Dark Days,21 Savage & Mariah The Scientist,70,1,1/27/2024
Rich Men North Of Richmond,Oliver Anthony Music,1,20,1/27/2024
See The Real,21 Savage,66,1,1/27/2024
Just Like Me,"21 Savage, Burna Boy & Metro Boomin",67,1,1/27/2024
Letter To My Brudda,21 Savage,59,1,1/27/2024
Dangerous,"21 Savage, Lil Durk & Metro Boomin",35,2,2/3/2024
Red Sky,"21 Savage, Tommy Newport & Mikky Ekko",57,2,2/3/2024
When It Comes To You,Fridayy,97,2,2/3/2024
Virginia Beach,Drake,3,14,2/3/2024
El Amor de Su Vida,Grupo Frontera & Grupo Firme,67,20,2/3/2024
Save Me The Trouble,Dan + Shay,38,13,2/3/2024
Can't Catch Me Now,Olivia Rodrigo,56,12,2/3/2024
IDGAF,"Tee Grizzley, Mariah The Scientist & Chris Brown",98,2,2/3/2024
Get Him Back!,Olivia Rodrigo,11,20,2/3/2024
Segun Quien,Maluma & Carin Leon,65,17,2/3/2024
Skin And Bones,David Kushner,70,1,2/3/2024
Pop Ur Sht,"21 Savage, Young Thug & Metro Boomin",31,2,2/3/2024
No Caller ID,Megan Moroney,58,2,2/10/2024
All I Need Is You,Chris Janson,98,1,2/10/2024
La Intencion,Christian Nodal & Peso Pluma,92,1,2/10/2024
02.02.99,That Mexican OT,74,3,2/10/2024
Sneaky,21 Savage,33,3,2/10/2024
Big Foot,Nicki Minaj,23,1,2/10/2024
Facts,Tom MacDonald X Ben Shapiro,16,1,2/10/2024
My Love Mine All Mine,Mitski,26,20,2/17/2024
White Horse,Chris Stapleton,12,29,2/17/2024
Turn The Lights Back On,Billy Joel,62,1,2/17/2024
All Of Me,21 Savage,18,4,2/17/2024
A Cold Sunday,Lil Yachty,87,1,2/17/2024
500lbs,Lil Tecca,51,20,2/17/2024
Fast Car,Tracy Chapman,6,22,2/17/2024
Lil Boo Thang,Paul Russell,14,21,2/17/2024
N.H.I.E.,21 Savage & Doja Cat,19,4,2/17/2024
Y Lloro,Junior H,79,7,2/17/2024
Fukumean,Gunna,4,32,2/17/2024
First Love,Oscar Ortiz X Edgardo Nunez,91,3,2/17/2024
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,61,19,2/17/2024
